city_id,city_name_nl,city_name_en,city_name_fr,city_name_de,province_or_region,count_boroughs,pop_in_2000,pop_in_2024,area_km2,pop_per_km2,prosperity_index,pop_increase_2024v2000_percent
414,Sint-Niklaas,Sint-Niklaas,Sint-Niklaas,Sint-Niklaas,Oost-Vlaanderen,4,68290,81863,84.2,972,96.6,19.88
439,Diest,Diest,Diest,Diest,Vlaams-Brabant,6,22132,24971,58.72,425,110.4,12.83
451,Hoegaarden,Hoegaarden,Hoegaarden,Hoegaarden,Vlaams-Brabant,3,6014,6873,34.13,201,121.3,14.28
467,Londerzeel,Londerzeel,Londerzeel,Londerzeel,Vlaams-Brabant,3,17153,19404,36.53,531,117.6,13.12
568,Ruiselede,Ruiselede,Ruiselede,Ruiselede,West-Vlaanderen,1,5048,5484,30.62,179,102.0,8.64
570,Staden,Staden,Staden,Staden,West-Vlaanderen,3,10986,11677,46.82,249,96.2,6.29
572,Torhout,Torhout,Torhout,Torhout,West-Vlaanderen,1,18838,20965,45.32,463,103.4,11.29
109,Doornik,Tournai,Tournai,Tournai,Henegouwen,30,67379,68554,215.34,318,93.8,1.74
143,Opzullik,Silly,Silly,Silly,Henegouwen,8,7471,8475,68.57,124,112.8,13.44
146,Péruwelz,Péruwelz,Péruwelz,Péruwelz,Henegouwen,10,16867,17318,61.0,284,87.3,2.67
153,Sivry-Rance,Sivry-Rance,Sivry-Rance,Sivry-Rance,Henegouwen,5,4506,4871,73.56,66,87.9,8.1
154,Thuin,Thuin,Thuin,Thuin,Henegouwen,8,14603,14871,76.65,194,101.4,1.84
263,Saint-Nicolas,Saint-Nicolas,Saint-Nicolas,Saint-Nicolas,Luik,3,23171,24491,6.91,3544,73.6,5.7
266,Seraing,Seraing,Seraing,Seraing,Luik,4,60557,64266,35.25,1823,76.1,6.12
457,Keerbergen,Keerbergen,Keerbergen,Keerbergen,Vlaams-Brabant,1,11992,13298,18.54,717,149.9,10.89
465,Linkebeek,Linkebeek,Linkebeek,Linkebeek,Vlaams-Brabant,1,4751,4674,4.19,1116,123.9,-1.62
485,Tienen,Tienen,Tirlemont,Tienen,Vlaams-Brabant,9,31479,36581,72.77,503,104.2,16.21
57,Sint-Katelijne-Waver,Sint-Katelijne-Waver,Sint-Katelijne-Waver,Sint-Katelijne-Waver,Antwerpen,2,19038,21792,36.16,603,115.9,14.47
72,Elsene,Ixelles,Ixelles,Ixelles,Brussels Hoofdstedelijk Gewest,1,73174,89278,6.41,13928,92.2,22.01
91,Anderlues,Anderlues,Anderlues,Anderlues,Henegouwen,1,11540,12809,17.2,745,84.5,11.0
125,Hensies,Hensies,Hensies,Hensies,Henegouwen,4,6782,6816,26.41,258,86.8,0.5
169,Halen,Halen,Halen,Halen,Limburg,3,8216,9545,36.6,261,108.9,16.18
197,Wellen,Wellen,Wellen,Wellen,Limburg,4,6725,7490,26.8,279,107.5,11.38
201,Amel,Amel,Amblève,Amel,Luik,3,5069,5612,125.88,45,96.3,10.71
217,Bütgenbach,Bütgenbach,Butgenbach,Bütgenbach,Luik,2,5550,5652,97.04,58,93.7,1.84
273,Thimister-Clermont,Thimister-Clermont,Thimister-Clermont,Thimister-Clermont,Luik,2,5075,5587,28.64,195,107.7,10.09
361,Sombreffe,Sombreffe,Sombreffe,Sombreffe,Namen,4,7305,8388,35.89,234,103.9,14.83
437,Boortmeerbeek,Boortmeerbeek,Boortmeerbeek,Boortmeerbeek,Vlaams-Brabant,2,11397,13348,18.77,711,129.7,17.12
509,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve,Waals-Brabant,3,27380,31648,33.4,948,108.5,15.59
513,Rixensart,Rixensart,Rixensart,Rixensart,Waals-Brabant,3,21271,23096,17.56,1315,124.5,8.58
530,De Panne,De Panne,La Panne,De Panne,West-Vlaanderen,2,9722,11021,26.63,414,107.0,13.36
542,Izegem,Izegem,Izegem,Izegem,West-Vlaanderen,3,26532,29227,25.63,1140,100.6,10.16
546,Koksijde,Koksijde,Koksijde,Koksijde,West-Vlaanderen,3,19729,21546,50.36,428,139.8,9.21
66,Wuustwezel,Wuustwezel,Wuustwezel,Wuustwezel,Antwerpen,2,17552,21794,89.41,244,105.5,24.17
69,Zwijndrecht,Zwijndrecht,Zwijndrecht,Zwijndrecht,Antwerpen,2,17801,19580,20.24,967,106.3,9.99
142,Morlanwelz,Morlanwelz,Morlanwelz,Morlanwelz,Henegouwen,3,18429,19172,20.38,941,87.3,4.03
253,Neupré,Neupré,Neupré,Neupré,Luik,4,9513,10010,31.74,315,131.1,5.22
256,Ouffet,Ouffet,Ouffet,Ouffet,Luik,3,2474,2788,40.24,69,103.4,12.69
260,Raeren,Raeren,Raeren,Raeren,Luik,3,9550,11136,72.81,153,108.7,16.61
268,Spa,Spa,Spa,Spa,Luik,1,10333,9812,39.85,246,95.4,-5.04
325,Vaux-sur-Sûre,Vaux-sur-Sûre,Vaux-sur-Sûre,Vaux-sur-Sûre,Luxemburg,6,4176,6269,135.72,46,96.0,50.12
341,Floreffe,Floreffe,Floreffe,Floreffe,Namen,4,7092,8082,39.12,207,105.3,13.96
388,Horebeke,Horebeke,Horebeke,Horebeke,Oost-Vlaanderen,2,1968,2012,11.25,179,128.9,2.24
454,Huldenberg,Huldenberg,Huldenberg,Huldenberg,Vlaams-Brabant,5,9009,10083,39.95,252,126.3,11.92
38,Mechelen,Mechelen,Malines,Mechelen,Antwerpen,6,75438,89313,65.79,1358,105.1,18.39
61,Vosselaar,Vosselaar,Vosselaar,Vosselaar,Antwerpen,1,10015,11801,11.83,998,115.6,17.83
194,Tessenderlo,Tessenderlo,Tessenderlo,Tessenderlo,Limburg,1,15819,19011,51.64,368,109.5,20.18
230,Fexhe-le-Haut-Clocher,Fexhe-le-Haut-Clocher,Fexhe-le-Haut-Clocher,Fexhe-le-Haut-Clocher,Luik,5,2930,3426,19.45,176,109.6,16.93
407,Oosterzele,Oosterzele,Oosterzele,Oosterzele,Oost-Vlaanderen,6,13204,14062,43.57,323,122.8,6.5
532,Dentergem,Dentergem,Dentergem,Dentergem,West-Vlaanderen,4,7868,8722,26.09,334,101.2,10.85
557,Meulebeke,Meulebeke,Meulebeke,Meulebeke,West-Vlaanderen,1,11055,11123,29.49,377,99.2,0.62
22,Hemiksem,Hemiksem,Hemiksem,Hemiksem,Antwerpen,1,9151,12396,5.48,2262,104.1,35.46
111,Ecaussinnes,Ecaussinnes,Ecaussinnes,Ecaussinnes,Henegouwen,3,9620,11572,34.86,332,97.2,20.29
117,Farciennes,Farciennes,Farciennes,Farciennes,Henegouwen,2,11336,11394,10.37,1099,65.5,0.51
158,Alken,Alken,Alken,Alken,Limburg,1,10900,11918,28.24,422,109.9,9.34
183,Leopoldsburg,Leopoldsburg,Bourg-Léopold,Leopoldsburg,Limburg,2,13796,16607,22.6,735,97.1,20.38
187,Maasmechelen,Maasmechelen,Maasmechelen,Maasmechelen,Limburg,8,35430,40219,76.28,527,87.3,13.52
211,Blegny,Blegny,Blegny,Blegny,Luik,6,12382,13482,26.08,517,106.4,8.88
238,Herve,Herve,Herve,Herve,Luik,8,16469,17850,56.84,314,104.8,8.39
275,Trois-Ponts,Trois-Ponts,Trois-Ponts,Trois-Ponts,Luik,3,2346,2547,68.83,37,95.9,8.57
277,Verlaine,Verlaine,Verlaine,Verlaine,Luik,4,3429,4361,24.4,179,114.5,27.18
291,Bouillon,Bouillon,Bouillon,Bouillon,Luxemburg,11,5437,5377,148.64,36,89.3,-1.1
320,Saint-Léger,Saint-Léger,Saint-Léger,Saint-Léger,Luxemburg,3,3192,3716,36.25,103,109.7,16.42
